market,q_or_tau_5min_bars,approx_minutes,approx_hours,variance_ratio,vr_z_stat,vr_p_value,push_response_slope,push_response_corr,n_obs,interpretation
TY,1,5,0.08333333333333333,1.0,,,-0.04355249049287563,-0.04355252521391881,863885,mixed or weak evidence
TY,3,15,0.25,0.9398200101852694,-37.522052326748714,4.0251977618510723e-308,-0.013549687232693735,-0.013549698399945518,863881,mean-reversion evidence
TY,6,30,0.5,0.9267636626976236,-27.535612679952823,6.5807031317542945e-167,-0.0006897812645871859,-0.0006898000143349844,863875,mean-reversion evidence
TY,12,60,1.0,0.9258414770325054,-18.38506972324203,1.730171322383807e-75,0.00011239894744461468,0.00011240038972618364,863863,mixed or weak evidence
TY,24,120,2.0,0.9248701951970738,-12.743211226759534,3.40102288062749e-37,-0.00012097644149872983,-0.00012097679562056074,863839,mean-reversion evidence
TY,48,240,4.0,0.9260048545003614,-8.733472620507396,2.4697052244513296e-18,0.01796654624601088,0.017966558565447672,863791,mixed or weak evidence
TY,96,480,8.0,0.9475654745855703,-4.341585112018,1.414584605795232e-05,-0.005944743842006798,-0.005944768693395529,863695,mean-reversion evidence
TY,192,960,16.0,0.9442495793485374,-3.251296225427759,0.0011488009432589858,-0.02385694084714196,-0.02385619969805372,863503,mean-reversion evidence
TY,384,1920,32.0,0.9263069425578295,-3.032975946039097,0.0024215490138636536,-0.03426624064089917,-0.03426867582636849,863119,mean-reversion evidence
TY,768,3840,64.0,0.8958011480923405,-3.0294620707903874,0.002449896639883756,0.03006432677468577,0.03007606540081939,862351,mixed or weak evidence
TY,1152,5760,96.0,0.9015167885027244,-2.337101954291044,0.019433883430764926,0.05475906794215292,0.05478311736653258,861583,mixed or weak evidence
